Wall time,Step,Value
1700250597.0341365,173904,-1.0
1700250666.435915,244488,-1.0
1700250683.941282,260568,-1.0
1700250838.964815,402360,-1.0
1700250901.087061,465648,-1.0
1700250938.5203483,509544,-1.0
1700250980.44071,559800,-1.0
1700251019.1773698,603192,-1.0
1700251074.0703926,670824,-1.0
1700251209.7044818,832368,-1.0
1700251439.0032766,1084848,-1.0
1700251450.393385,1096680,-1.0
1700251550.8097768,1204272,-1.0
1700251608.881491,1268448,-1.0
1700251706.1400766,1373400,-1.0
1700251868.1721592,1546488,-1.0
1700251915.6035485,1597224,-1.0
1700251954.7678218,1637856,-1.0
1700251968.975214,1654200,-1.0
1700252011.3153644,1698384,-1.0
1700252030.4583673,1720032,-1.0
1700252455.0004191,2171760,-1.0
1700252476.3778937,2193768,-1.0
1700253063.5929818,2775384,-1.0
1700253069.8007357,2781888,0.0
1700253093.2989216,2810040,0.0
1700253132.5458288,2855712,-1.0
1700253214.526569,2952192,-1.0
1700253282.858788,3027552,-1.0
1700253325.3973706,3078600,-1.0
1700253333.7874773,3087408,-1.0
1700253347.1096535,3104256,-1.0
1700253357.9189985,3116856,-1.0
1700253407.5559864,3175800,-1.0
1700253627.7046957,3432888,-1.0
1700253744.673834,3570288,-1.0
1700253764.46008,3593280,-1.0
1700253765.563463,3595008,0.0
1700253808.022186,3646272,-1.0
1700253907.3833096,3763992,-1.0
1700253929.543524,3788928,-1.0
1700254029.983002,3901992,-1.0
1700254189.2162325,4077360,-1.0
1700254265.1630883,4160712,-1.0
1700254310.0285447,4208832,-1.0
1700254329.2919195,4227648,-1.0
1700254376.701415,4279104,-1.0
1700254388.6664999,4292328,-1.0
1700254390.2986393,4294776,-1.0
1700254598.5447173,4519416,-1.0
1700254676.4691207,4598784,-1.0
1700254803.9205537,4733232,-1.0
1700254907.5664937,4839576,-1.0
1700254924.5934887,4855464,-1.0
1700254995.055757,4926144,-1.0
1700255013.1891966,4942464,-1.0
1700255068.101825,4992648,-1.0
1700255186.9579153,5098632,-1.0
1700255200.784828,5113152,-1.0
1700255459.0559883,5408928,-1.0
1700255781.8015914,5747064,-1.0
1700256121.2442153,6072360,-1.0
1700256169.0565252,6130392,-1.0
1700256225.1533356,6195312,-1.0
1700256238.5939026,6211752,-1.0
1700256308.2005377,6291624,-1.0
1700256340.5616384,6331272,-1.0
1700256412.1934714,6416136,-1.0
1700256509.5596585,6531024,1.0
1700256731.161563,6794544,-1.0
1700256905.9988825,7000104,-1.0
1700256943.0483108,7042392,-1.0
1700256956.152569,7059360,-1.0
1700257064.6284335,7187736,-1.0
1700257081.364926,7207512,-1.0
1700257142.6102545,7278816,1.0
1700257229.757924,7382496,-1.0
1700257324.2832808,7493520,-1.0
1700257373.0713708,7550616,-1.0
1700257433.3984902,7621344,-1.0
1700257466.5233226,7661736,-1.0
1700257674.1322906,7909080,-1.0
1700257711.577433,7950984,-1.0
1700257842.387411,8109144,-1.0
1700257863.0515203,8133456,-1.0
1700257970.5633297,8259384,-1.0
1700258042.4401155,8345208,-1.0
1700258117.9450395,8433792,-1.0
1700258122.8146038,8439696,-1.0
1700258190.5086145,8514888,-1.0
1700258422.903323,8763240,-1.0
1700258629.6633065,8981592,-1.0
1700258667.8843558,9018792,1.0
1700258769.3317742,9112272,-1.0
1700258897.1321528,9236904,1.0
1700258987.2052572,9343296,0.0
1700258987.8706393,9344400,-1.0
1700259019.194051,9382080,-1.0
1700259053.3932426,9423600,-1.0
1700259082.227864,9457896,0.0
1700259257.3687885,9666504,-1.0
1700259392.1019235,9825840,-1.0
1700259569.5255244,10036968,-1.0
1700259836.3759053,10352040,-1.0
1700259844.6216443,10360776,-1.0
1700259909.4506502,10438440,-1.0
1700259950.233466,10487304,-1.0
1700259985.207029,10530120,-1.0
1700260015.6121397,10566480,-1.0
1700260044.8540545,10601568,-1.0
1700260072.3716805,10633152,-1.0
1700260072.8530316,10633872,-1.0
1700260122.699336,10690800,1.0
1700260133.4942782,10704336,1.0
1700260169.3844411,10748136,-1.0
1700260177.4903374,10757040,1.0
1700260371.339366,10986384,-1.0
1700260467.2845945,11101080,-1.0
1700260565.8456829,11218944,-1.0
1700260610.7203486,11269464,1.0
1700260644.538606,11311440,-1.0
1700260679.3571067,11353800,-1.0
1700260875.7756908,11585928,-1.0
1700261050.7980285,11793840,-1.0
1700261098.7913737,11850696,-1.0
1700261099.648133,11852040,-1.0
