Wall time,Step,Value
1700250597.0341363,173904.0,-1.0
1700250631.7523847,209213.6548274137,-1.0
1700250649.1660917,226348.89941778465,-1.0
1700250696.6870065,270417.7337570302,-1.0
1700250737.6488593,309541.9572432661,-1.0
1700250771.211235,342959.06249233626,-1.0
1700250801.1909492,374029.3950805054,-1.0
1700250828.534764,402775.129798135,-1.0
1700250855.9258094,432677.6690833336,-1.0
1700250891.4631689,472826.89273286215,-1.0
1700250941.4889224,528743.9232841558,-1.0
1700250984.1313813,576332.7979851996,-1.0
1700251027.9841816,624926.3081966826,-1.0
1700251069.7472236,671191.6685699144,-1.0
1700251112.4711895,718334.1288464358,-1.0
1700251160.0577393,770483.0433580915,-1.0
1700251204.8582287,819505.0866468837,-1.0
1700251246.8751187,865356.6941078206,-1.0
1700251285.223575,907249.6716152908,-1.0
1700251321.874266,947183.4927505957,-1.0
1700251355.955025,984355.1758015372,-1.0
1700251406.4381897,1038897.0117752773,-1.0
1700251453.4710653,1089663.3338793323,-1.0
1700251521.3342113,1160712.803359848,-1.0
1700251584.0193586,1226341.3490161633,-0.9595179189810398
1700251642.7974544,1288017.6571213496,-0.9221500000485093
1700251698.6939552,1346838.7505492193,-0.9250709917209662
1700251753.565216,1404950.54764404,-0.9277833289134919
1700251807.04145,1461689.5652310487,-0.9303085965723512
1700251858.3909795,1516372.1261776697,-0.9326655016509757
1700251906.7021258,1567814.937650729,-0.9348703373023567
1700251952.4163978,1616577.0296416613,-0.9369373600353633
1700251995.692705,1662771.5606950137,-0.938879098297186
1700252037.907263,1708010.9462124116,-0.9407066066000536
1700252084.1068697,1758135.9743720859,-0.9424296760833706
1700252131.0459301,1809359.8727358314,-0.944057009982165
1700252175.9919276,1858447.282291246,-0.9455963706411937
1700252218.6016603,1904997.1773401026,-0.9202489057566923
1700252260.1355305,1950499.2211995686,-0.9223329178499448
1700252302.1252482,1996726.6624582428,-0.9243127164572483
1700252342.6177993,2041319.2573600372,-0.9261959269557231
1700252383.6226614,2086535.6865605398,-0.927989448496099
1700252426.5014808,2133813.3227208843,-0.9296995384476454
1700252469.194423,2180877.0497484594,-0.9313318853278821
1700252511.0087144,2226941.7645735787,-0.9328916720083296
1700252551.432958,2271421.6540120034,-0.9343836306760301
1700252591.1688225,2315128.6460269173,-0.935812090778706
1700252629.503906,2357296.212101033,-0.9371810209767709
1700252666.3081129,2397793.497348139,-0.9384940659583624
1700252705.9076924,2441274.3830375574,-0.9397545788365689
1700252745.5204887,2484645.2660059547,-0.9409656497352189
1700252786.1234336,2528999.7356294454,-0.9421301310763104
1700252827.2007399,2573739.210483217,-0.9432506600047107
1700252867.0800617,2617123.3774416097,-0.9443296783212253
1700252906.824926,2660249.674065379,-0.9453694502411484
1700252945.4827797,2702134.883270492,-0.9463720782501119
1700252983.7744842,2743455.369693448,-0.9473395172908984
1700253022.8536544,2785230.5334122493,-0.9482735874826519
1700253060.8489602,2825842.5094272355,-0.9491759855466103
1700253102.0101888,2870176.8688270184,-0.9500482950892638
1700253147.2727501,2918768.4421209884,-0.9508919958740559
1700253196.7184021,2971200.482098167,-0.9517084721958224
1700253245.3765588,3022917.4907923886,-0.9524990204576653
1700253293.4180748,3074064.4905345594,-0.9532648560374941
1700253340.1943612,3123898.312849527,-0.9540071195207334
1700253386.6419973,3173471.447455975,-0.9547268823664197
1700253432.201762,3222175.768210969,-0.9554251520658875
1700253477.5101435,3270737.369584489,-0.9561028768462769
1700253522.9643815,3319613.169108423,-0.9267784330489092
1700253570.3956711,3370987.9573773197,-0.9278609704235781
1700253619.0400496,3423912.7456479147,-0.9289130015026447
1700253666.8657002,3475975.2289270326,-0.9299357973819301
1700253713.5665529,3526851.6439980185,-0.9309305595081718
1700253760.5247312,3578151.341248049,-0.9318984243850427
1700253806.4616416,3628355.9899790348,-0.9328404679026884
1700253852.0255938,3678212.6972668613,-0.906442408157408
1700253897.5808592,3728172.1351714623,-0.9077042135643312
1700253943.2266057,3778328.843330052,-0.9089336491943728
1700253988.3581617,3827966.4220921258,-0.9101319442798083
1700254033.1451266,3877281.917177383,-0.9113002665913021
1700254077.2511878,3925897.9898881945,-0.9124397262318351
