Wall time,Step,Value
1699956012.9593294,169568,942.0
1699956066.5561078,235680,925.0
1699956237.701445,442560,982.0
1699956305.0433483,525056,965.0
1699956380.0758572,617440,895.0
1699956497.2075794,759200,815.0
1699956677.6721756,974688,872.0
1699956763.6372619,1073696,865.0
1699956809.4280512,1125664,740.0
1699957049.8068476,1390432,825.0
1699957083.333062,1428256,1024.0
1699957096.1811461,1442944,983.0
1699957126.1575038,1479840,1024.0
1699957138.656967,1494368,920.0
1699957457.66349,1870688,1024.0
1699957475.36228,1892928,1024.0
1699957963.1255088,2443360,1024.0
1699958022.692991,2514720,1024.0
1699958126.6071644,2636832,1024.0
1699958148.9718733,2662016,1024.0
1699958516.21404,3046176,1024.0
1699958683.4409575,3218400,1024.0
1699958705.6215944,3243872,860.0
1699958989.9086726,3548192,1024.0
1699959018.9302588,3580928,994.0
1699959072.201056,3638048,1024.0
1699959419.0797057,4010144,1024.0
1699959505.655345,4101152,1024.0
1699959514.6477287,4112192,1024.0
1699959575.9179127,4171072,1024.0
1699959719.5069737,4322720,1024.0
1699959928.2528358,4560352,1024.0
1699960174.3804362,4827328,1024.0
1699960400.7233455,5093568,1004.0
1699960485.1099455,5191328,1024.0
1699960551.718007,5270464,865.0
1699960579.008449,5303232,1024.0
1699960636.117745,5372384,1024.0
1699960713.1531146,5462144,1024.0
1699960901.5407445,5678400,1024.0
1699961058.5873332,5842496,875.0
1699961094.683858,5877536,1024.0
1699961204.4007607,5997216,1024.0
1699961221.3725922,6016160,1005.0
1699961274.0993335,6070880,1024.0
1699961448.7198305,6255264,1024.0
1699961494.4346144,6306400,1024.0
1699961550.186272,6365056,1024.0
1699961584.8699868,6400640,1023.0
1699961780.5962524,6607520,1024.0
1699961932.683956,6768672,1024.0
1699961954.1500034,6789888,1024.0
1699962046.301243,6889696,1024.0
1699962110.6648536,6963712,1024.0
1699962172.5818274,7037984,1024.0
1699962414.780515,7301184,1024.0
1699962581.7298987,7486080,1024.0
1699962605.7992926,7513216,1024.0
1699962766.640992,7699232,1024.0
1699962847.2725067,7786016,1024.0
1699963117.7007403,8043552,1024.0
1699963235.2571526,8184256,1024.0
1699963382.8999631,8363040,1024.0
1699963610.8605404,8632864,1024.0
1699963618.3804076,8640096,1024.0
1699963675.5855763,8705984,1024.0
1699963709.6092815,8746496,1024.0
1699963739.4093962,8781024,1024.0
1699963766.8978186,8812096,1024.0
1699963792.4667265,8840256,1024.0
1699963816.0820668,8866432,1024.0
1699963816.312208,8866752,1024.0
1699964190.8722928,9257952,1024.0
1699964287.2781403,9361024,1024.0
1699964328.5161161,9403008,1024.0
1699964366.2667131,9436864,1024.0
1699964394.8617218,9469632,1024.0
1699964736.865229,9830080,1024.0
1699964779.0737178,9879520,1024.0
1699964855.2345772,9965600,1024.0
1699964877.9449487,9993920,1024.0
1699964904.9964204,10024448,1024.0
1699964926.1965895,10047136,1024.0
1699964954.4548907,10078880,1024.0
1699964982.0637429,10109504,1024.0
1699965057.6455035,10194592,1024.0
1699965078.0728867,10220544,1013.0
1699965104.9715912,10252896,1024.0
1699965167.6206849,10325664,1024.0
1699965395.4848433,10589504,1024.0
1699965460.4334493,10663840,1010.0
1699965587.9724867,10795680,1024.0
1699965596.480717,10802464,1024.0
1699965660.9117734,10860832,1024.0
1699965971.3591664,11182464,1024.0
1699966068.0338974,11281664,933.0
1699966732.8359785,11998688,1024.0
1699966783.9152732,12052032,1024.0
1699966930.7633138,12209600,1024.0
1699966971.9113472,12256512,1024.0
1699967187.4246414,12501856,1024.0
1699967221.5509565,12538816,1024.0
1699967261.968998,12582432,1024.0
1699967344.7960236,12661760,1024.0
1699967762.8916218,13097504,1024.0
