Wall time,Step,Value
1699956012.9593294,169568.0,942.0
1699956039.7711244,202640.53626813408,933.4957478739369
1699956105.8139188,282693.717342103,949.6800107841138
1699956155.6960497,343375.24963866017,953.515757873932
1699956200.661853,398297.9352917748,941.7891765779921
1699956250.2098458,458598.8307962806,920.6047566603257
1699956311.4593356,532547.3310961594,913.6403615965479
1699956368.179701,600428.0225578964,907.5390043026075
1699956417.403733,659021.4030770317,888.8489734355164
1699956480.9291477,732492.2012525772,882.4352913522492
1699956535.9675078,796060.3447840427,895.3692866743845
1699956582.909299,850264.4471052759,902.7120972606228
1699956624.9489377,898984.5874633369,912.0980456476394
1699956661.8814723,941789.0934995876,912.6661488995132
1699956715.3059626,1004150.3299597388,920.1405000543164
1699956763.1667686,1060116.7298634637,926.680540948343
1699956834.318958,1142136.872839076,932.4511498629545
1699956900.902692,1219041.7088051252,937.5805654614347
1699956965.9959867,1294336.075044515,942.1700287937474
1699957025.7086623,1363371.994146942,946.300532699866
1699957097.3974771,1444309.7931536993,950.0376428121529
1699957170.250241,1525800.229349078,953.4350037389066
1699957237.7427642,1601323.9768464707,949.327747132786
1699957311.5927567,1683380.2409557328,952.4750206151358
1699957380.709332,1760196.9230747093,954.1560381949046
1699957446.5835845,1833328.8421580212,956.8760744245888
1699957520.5931509,1915004.6154720397,959.3946155646088
1699957592.4499407,1994140.440109094,961.7332503746276
1699957659.6652226,2068204.3234689601,963.9105898543564
1699957724.4712887,2139321.552606652,965.9427635368803
1699957789.7977693,2210815.8810121207,967.8438197252107
1699957857.666004,2285383.2036238494,969.6260506844847
1699957928.9990952,2363651.279196527,971.300258708309
1699958002.9033809,2445275.4917721665,972.2779774108692
1699958075.0364492,2525075.9384188494,973.7810224151857
1699958145.0445297,2602679.515296868,970.7061214370688
1699958212.0189316,2676989.527172689,972.1725875662598
1699958276.9988337,2749241.7257545656,973.5618626919966
1699958340.6590886,2820133.8081890866,974.8798845838382
1699958405.9380946,2892993.3938616547,976.1319972343899
1699958471.939894,2966381.339804,973.615684982069
1699958535.6755064,3037125.654786388,974.8400802024728
1699958599.0517776,3107421.196888232,976.0075186279378
1699958659.940954,3174960.877365963,976.6807117403722
1699958719.321198,3240741.277726533,977.7555627961794
1699958780.0014453,3307760.4307746394,978.7836734790702
1699958839.0943139,3373040.4368321914,979.7680272171718
1699958896.9135466,3436850.903743956,980.7113588196025
1699958953.0973265,3498800.149972481,981.595277803063
1699959011.0445614,3562510.773455462,982.4643272575404
1699959069.7762024,3626961.9546882254,983.2992893765335
