Wall time,Step,Value
1700088490.189956,27360,-1.0
1700088529.701567,73952,-1.0
1700088558.0804596,108064,-1.0
1700088607.8903248,166688,-1.0
1700088657.536622,228160,-1.0
1700088672.2953405,245760,-1.0
1700088684.663689,259808,-1.0
1700088774.3443537,368416,-1.0
1700088785.9216118,381920,-1.0
1700088800.0768578,399392,-1.0
1700088820.496989,425664,-1.0
1700088855.9871666,468160,0.0
1700088873.5273154,489824,-1.0
1700088878.6689165,494080,-1.0
1700088894.3686833,513600,-1.0
1700088922.6567492,548288,-1.0
1700088950.6627107,582304,0.0
1700088958.9078774,590016,0.0
1700088972.960649,606560,-1.0
1700089055.1623907,706496,0.0
1700089086.833111,747296,-1.0
1700089135.9600286,803168,0.0
1700089155.480221,828000,0.0
1700089264.1749663,955232,-1.0
1700089268.8607793,961728,-1.0
1700089283.5961015,979104,0.0
1700089361.4147418,1065216,0.0
1700089367.4256911,1073888,-1.0
1700089383.7268128,1092192,0.0
1700089395.935838,1105280,-1.0
1700089406.546213,1115616,0.0
1700089412.9220917,1124384,-1.0
1700089473.2326853,1187840,0.0
1700089478.2158477,1193376,-1.0
1700089492.3296115,1206848,-1.0
1700089497.5734725,1212288,-1.0
1700089599.0688856,1313216,0.0
1700089632.9049964,1356288,-1.0
1700089668.3822954,1398624,0.0
1700089696.913255,1433152,0.0
1700089710.9061167,1450400,-1.0
1700089712.3899786,1452352,-1.0
1700089744.2846503,1490656,-1.0
1700089748.3798716,1493344,0.0
1700089757.4371235,1506144,0.0
1700089810.5626054,1569792,0.0
1700089817.0716095,1575968,-1.0
1700089845.8904812,1610048,0.0
1700089885.9516442,1656640,-1.0
1700089996.1078644,1792192,0.0
1700090041.851926,1848544,0.0
1700090047.679377,1853536,-1.0
1700090074.212361,1886304,0.0
1700090093.9307086,1911648,-1.0
1700090094.1932437,1912032,0.0
1700090193.592832,2029088,0.0
1700090306.5681705,2160160,0.0
1700090449.4621553,2312352,-1.0
1700090535.9692252,2392992,0.0
1700090538.479494,2396480,0.0
1700090551.5393705,2410688,0.0
1700090557.295177,2418784,-1.0
1700090559.8542767,2422112,0.0
1700090596.2038596,2462016,0.0
1700090664.236635,2538368,-1.0
1700090665.1977935,2539392,-1.0
1700090684.8089793,2558336,0.0
1700090719.0483315,2593856,0.0
1700090728.2763834,2603904,0.0
1700090772.924784,2644928,0.0
1700090782.8678005,2654432,0.0
1700090791.811057,2667264,-1.0
1700090802.0379,2678496,0.0
1700090830.9708254,2714176,-1.0
1700090841.1912203,2726112,-1.0
1700090857.056847,2746080,-1.0
1700090880.7347274,2773312,-1.0
1700090905.429771,2801952,0.0
1700090916.3086135,2817888,0.0
1700091013.0095127,2931808,0.0
1700091112.9273784,3046304,-1.0
1700091113.1457899,3046560,-1.0
1700091132.29492,3066624,-1.0
1700091132.7699447,3067264,0.0
1700091167.1870115,3107648,0.0
1700091219.7533853,3164736,-1.0
1700091234.0506551,3180160,-1.0
1700091256.8679967,3206368,0.0
1700091280.4501529,3230144,0.0
1700091281.793869,3232032,-1.0
1700091376.5214293,3323680,0.0
1700091418.747075,3368896,0.0
1700091491.179108,3446368,-1.0
1700091508.825298,3464960,-1.0
1700091537.0381546,3493088,0.0
1700091576.7132058,3530496,0.0
1700091609.5733855,3563712,-1.0
1700091624.9175665,3581376,0.0
1700091662.6606236,3622048,-1.0
1700091665.6517503,3626816,0.0
1700091670.1024418,3632544,-1.0
1700091672.2100341,3635232,0.0
1700091694.2806659,3658336,0.0
1700091711.9298854,3678656,0.0
1700091776.9160063,3748672,-1.0
1700091843.13413,3814784,-1.0
1700091910.307571,3883488,0.0
1700091926.9711857,3903648,0.0
1700091963.5008066,3946656,0.0
1700091997.3943071,3983584,0.0
1700092006.0543146,3995328,0.0
1700092061.4453666,4056512,-1.0
1700092082.137015,4079584,0.0
1700092096.3799667,4094720,0.0
1700092101.2614267,4098016,0.0
1700092119.1040812,4118144,0.0
1700092151.5062568,4151488,-1.0
1700092167.0535207,4165792,0.0
1700092204.4714339,4200736,0.0
1700092236.8389404,4233024,0.0
1700092289.6600034,4293792,0.0
1700092293.8151689,4300352,0.0
1700092408.0482233,4429632,0.0
1700092484.7062025,4515616,0.0
1700092487.1509795,4518592,0.0
1700092511.1444695,4543328,0.0
1700092559.2975729,4592960,0.0
1700092602.95771,4633792,0.0
1700092639.7838967,4674624,-1.0
1700092643.4889367,4679808,-1.0
1700092653.2752204,4691264,0.0
1700092670.5349054,4712576,0.0
1700092713.3766768,4763648,0.0
1700092763.7723024,4822240,0.0
1700092766.6108313,4825984,-1.0
1700092771.078652,4832032,-1.0
1700092803.8722491,4868640,-1.0
1700092830.5917003,4899232,0.0
1700092979.664121,5071808,0.0
1700092990.838104,5082912,0.0
1700092991.3914344,5083680,0.0
1700093029.2044144,5125088,0.0
1700093035.446088,5129920,0.0
1700093054.5796237,5150688,0.0
1700093087.3298466,5183456,0.0
1700093097.4949207,5194368,0.0
1700093116.9413,5220608,-1.0
1700093127.4008808,5233088,-1.0
1700093140.783262,5249504,0.0
1700093146.099231,5256992,-1.0
1700093172.4940164,5289344,0.0
1700093195.9039137,5317760,0.0
1700093197.4048638,5319680,-1.0
1700093227.89893,5356864,0.0
1700093266.3235576,5402528,0.0
1700093303.3082788,5445952,0.0
1700093307.4579208,5451680,0.0
1700093357.3643165,5510304,0.0
1700093494.46811,5669568,-1.0
1700093548.566044,5734208,0.0
1700093574.2573724,5762336,0.0
1700093644.6020856,5835808,-1.0
1700093679.974689,5870720,0.0
1700093694.7986133,5883424,0.0
1700093774.9524252,5966880,0.0
1700093795.1956549,5993440,-1.0
1700093806.7221243,6006912,0.0
1700093856.2686813,6065408,0.0
1700093906.3049567,6126688,0.0
1700093929.4929833,6153728,0.0
1700093933.3481398,6158848,-1.0
1700094000.512162,6237088,-1.0
1700094021.8341928,6260256,0.0
1700094052.147627,6297120,-1.0
1700094102.8387566,6356640,0.0
1700094106.0442908,6357632,0.0
1700094128.2715461,6384864,0.0
1700094128.9671495,6385696,-1.0
1700094134.9961185,6389952,0.0
