Wall time,Step,Value
1701074469.7937028,172672,913.0
1701074524.0296056,236416,823.0
1701074540.40495,255840,755.0
1701074701.6348047,443008,935.0
1701074734.8924117,484448,1027.0
1701074773.6896627,528768,906.0
1701074857.3891473,626432,879.0
1701074981.775939,772160,1025.0
1701075175.2194047,999456,1054.0
1701075264.4134777,1105440,875.0
1701075310.2580688,1158208,1067.0
1701075390.3611221,1250432,1095.0
1701075518.2781365,1401920,956.0
1701075557.068198,1446880,1235.0
1701075589.020161,1485376,899.0
1701075602.488441,1501056,1090.0
1701075638.887678,1541536,1200.0
1701075655.3566115,1561568,936.0
1701076005.6113536,1965856,1082.0
1701076023.7969277,1983904,944.0
1701076554.1821837,2596160,1005.0
1701076635.5964434,2684448,1001.0
1701076759.8744237,2816320,1272.0
1701076776.499921,2834240,1167.0
1701076782.7656922,2839424,1294.0
1701077148.9765265,3261696,1050.0
1701077315.1498716,3443200,1070.0
1701077334.7278728,3469440,1135.0
1701077621.4714398,3811520,1368.0
1701077652.9178536,3848768,1036.0
1701077711.478937,3915936,1113.0
1701077717.2283883,3925568,1151.0
1701077959.487747,4205312,1295.0
1701078069.8421307,4323008,1403.0
1701078185.997563,4425632,1150.0
1701078194.6965566,4438816,1291.0
1701078248.93677,4505824,1047.0
1701078289.6638508,4560640,1187.0
1701078379.687326,4669952,1021.0
1701078614.3867018,4948640,905.0
1701078891.1528294,5256384,1016.0
1701079157.2304895,5556160,950.0
1701079202.2501967,5607008,1195.0
1701079261.1764464,5669472,1146.0
1701079271.0845854,5682496,1152.0
1701079341.370262,5752960,1640.0
1701079380.5970297,5792032,1122.0
1701079450.8359773,5866656,1106.0
1701079531.810806,5972832,1341.0
1701079725.105126,6222848,1194.0
1701079874.526408,6414240,1740.0
1701079905.2013092,6454592,1323.0
1701079922.629676,6475552,1124.0
1701080011.6886806,6590112,945.0
1701080026.0648844,6609760,1170.0
1701080076.4593136,6674400,915.0
1701080154.4238267,6775936,1223.0
1701080238.4590085,6881504,1085.0
