Wall time,Step,Value
1699956631.416911,175072,915.0
1699956688.3977928,240096,1024.0
1699956869.6511738,443520,935.0
1699956945.8275864,527328,910.0
1699957035.1434233,623232,942.0
1699957171.6064403,764608,1024.0
1699957367.45689,981120,1024.0
1699957449.512498,1084480,1024.0
1699957487.6770852,1133536,1019.0
1699957698.1286979,1406976,1024.0
1699957725.0382092,1441728,1024.0
1699957741.4515903,1459360,1024.0
1699957769.2194712,1495072,993.0
1699957783.697708,1514816,957.0
1699958085.369825,1898496,1024.0
1699958103.1298773,1919008,900.0
1699958569.0266206,2474944,1024.0
1699958637.7485704,2549824,1024.0
1699958759.3918543,2667712,1024.0
1699958790.2110028,2691520,1024.0
1699959092.5961957,3063744,870.0
1699959216.4999847,3221600,1024.0
1699959237.3042521,3246592,1024.0
1699959481.2137032,3557760,1024.0
1699959507.643477,3591584,964.0
1699959550.0157301,3647840,1024.0
1699959846.7105162,4024384,1024.0
1699959914.9159636,4108992,1024.0
1699959926.3944123,4123456,789.0
1699959976.920155,4185504,1024.0
1699960092.305123,4329216,1024.0
1699960285.6745756,4576000,1024.0
1699960499.3279147,4847520,1024.0
1699960710.1591136,5115648,1024.0
1699960788.6627076,5213952,1024.0
1699960851.0017853,5293152,1024.0
1699960876.206008,5326368,1024.0
1699960930.5159547,5397376,1024.0
1699961005.6013408,5494624,1024.0
1699961178.8664415,5710592,1021.0
1699961312.0572233,5875840,1024.0
1699961340.0150359,5910080,1024.0
1699961434.9992151,6027168,1024.0
1699961449.3528197,6045216,920.0
1699961497.25655,6106688,1024.0
1699961634.8283637,6277568,1024.0
1699961676.3813686,6332928,1024.0
1699961718.6809251,6387616,1024.0
1699961750.0533001,6425408,1024.0
1699961911.3410895,6629024,939.0
1699962041.6719425,6792736,1024.0
1699962055.2501187,6809568,1024.0
1699962135.412725,6910336,1024.0
1699962193.1371586,6983232,1024.0
1699962248.4428415,7056352,1024.0
1699962452.718816,7320512,975.0
1699962599.4477491,7504672,1024.0
1699962620.6450703,7533760,980.0
1699962770.386015,7719168,1024.0
1699962839.380949,7807872,1024.0
1699963046.0943024,8070048,1024.0
1699963156.0930388,8206368,1024.0
1699963300.7607582,8376704,1024.0
1699963540.0967596,8645344,1024.0
1699963547.3887703,8650816,1024.0
1699963611.867851,8716352,1024.0
1699963655.447939,8759360,1024.0
1699963695.864951,8794848,1024.0
1699963724.698747,8827392,1024.0
1699963746.4801114,8853856,1024.0
1699963762.4755542,8874720,1024.0
1699963764.2328634,8877120,1024.0
1699964071.5260448,9260064,1024.0
1699964150.8087308,9359136,1024.0
1699964179.8244135,9396960,975.0
1699964209.5489285,9432896,1024.0
1699964236.941609,9465504,1024.0
1699964533.7272131,9832288,1024.0
1699964567.6590605,9877536,1024.0
1699964635.173446,9962272,1024.0
1699964654.0250366,9989088,1024.0
1699964676.0721123,10016480,941.0
1699964699.5274553,10044224,1024.0
1699964724.2936556,10076896,1024.0
1699964745.7690144,10107488,1024.0
1699964812.999858,10192768,1024.0
1699964831.0311303,10218848,1024.0
1699964860.594354,10251616,1024.0
1699964925.8579333,10323840,1024.0
1699965172.0614977,10583744,1024.0
1699965253.1285732,10662112,956.0
1699965354.3961275,10788704,1024.0
1699965355.3648157,10789952,1024.0
1699965404.7095277,10850848,879.0
1699965657.8119702,11168480,1024.0
1699965735.795611,11266784,1024.0
1699966293.801443,11979552,1024.0
1699966331.2679648,12026848,1024.0
1699966456.474935,12188544,1024.0
1699966499.2903895,12240512,1024.0
1699966692.3082614,12481568,1024.0
1699966732.0508232,12526848,1024.0
1699966769.8692892,12567712,1024.0
1699966833.3867478,12644608,1024.0
1699967242.5624838,13086080,855.0
1699967271.9608288,13122880,1024.0
1699967578.3063138,13499488,1024.0
1699967653.3573785,13590016,1024.0
1699967768.3912642,13730112,1024.0
1699967788.0647485,13757440,970.0
1699967851.2915764,13836832,1024.0
1699967865.9832728,13855392,1024.0
1699967872.8899114,13861408,1024.0
1699967997.5778446,14023200,1024.0
1699968036.198545,14071968,1024.0
1699968137.5845134,14201888,1024.0
1699968199.7890644,14279136,1024.0
1699968320.710583,14430848,1024.0
1699968382.2876706,14508512,1024.0
1699968459.4332507,14607872,1024.0
1699968697.6643176,14909920,1024.0
1699968776.811036,15012192,1024.0
1699968868.8310935,15124064,1024.0
1699968877.7955513,15137184,1024.0
1699969058.9737105,15352192,1024.0
