Wall time,Step,Value
1700122890.728001,174272,-1.0
1700122953.0375998,249184,-1.0
1700123131.355502,462784,-1.0
1700123207.3229845,554752,-1.0
1700123302.4976041,665088,0.0
1700123429.111306,818304,0.0
1700123628.4855244,1050240,-1.0
1700123727.1864102,1168544,0.0
1700123771.8701844,1221568,0.0
1700124038.6858928,1513056,0.0
1700124082.9102428,1553696,-1.0
1700124100.3417747,1571744,0.0
1700124134.9809399,1607808,0.0
1700124156.3605797,1631776,0.0
1700124548.3067799,2031808,-1.0
1700124571.9911776,2054528,-1.0
1700125126.7506227,2655296,0.0
1700125203.331638,2737664,0.0
1700125341.398991,2869504,-1.0
1700125367.9178002,2900000,0.0
1700125728.6521072,3305664,0.0
1700125923.9161656,3480704,0.0
1700125950.0653074,3503392,0.0
1700126244.9009035,3836384,0.0
1700126272.5448275,3870208,0.0
1700126323.8443098,3933312,0.0
1700126657.896695,4345504,0.0
1700126736.9795816,4440704,0.0
1700126747.5464509,4456448,0.0
1700126805.5325704,4523072,0.0
1700126937.516628,4684576,-1.0
1700127163.3114204,4949504,-1.0
1700127419.0505078,5244448,0.0
1700127698.3509436,5531872,0.0
1700127795.9849,5638816,-1.0
1700127872.3092313,5724480,0.0
1700127908.736329,5765792,0.0
1700127976.9459136,5837248,0.0
1700128086.5836272,5945376,0.0
1700128290.1196744,6177472,0.0
1700128443.4611988,6352288,-1.0
1700128481.9242566,6392608,-1.0
1700128597.020262,6512192,0.0
1700128616.9399486,6531360,0.0
1700128688.2264845,6595104,0.0
1700128846.4637537,6782976,0.0
1700128898.6301022,6842752,-1.0
1700128949.1029716,6899200,0.0
1700128983.4160762,6939712,0.0
1700129186.834544,7160192,0.0
1700129374.6144404,7341696,0.0
1700129395.1574857,7362560,0.0
1700129488.4659815,7475808,0.0
1700129546.7119586,7547040,0.0
1700129611.8948972,7625856,0.0
1700129844.0652225,7908384,0.0
1700130015.7867908,8112992,0.0
1700130037.7231293,8141440,0.0
1700130202.8017566,8338048,0.0
1700130283.6689925,8432256,-1.0
1700130525.497592,8714080,0.0
1700130662.034821,8866368,0.0
1700130836.2498813,9053888,0.0
1700131113.5157053,9335456,-1.0
1700131120.2564301,9341440,0.0
1700131184.194818,9413856,0.0
1700131226.6948524,9458528,0.0
1700131262.4307506,9495008,0.0
1700131296.3454158,9527328,0.0
1700131332.4734907,9557472,0.0
1700131358.4584885,9586912,-1.0
1700131359.624804,9588864,0.0
1700131750.76831,10013024,-1.0
1700131849.629315,10125312,0.0
1700131884.5828106,10167520,0.0
1700131919.2970636,10207296,0.0
1700131947.473289,10242240,0.0
1700132281.9036863,10638848,-1.0
1700132316.8187776,10680416,0.0
1700132403.3644326,10775488,0.0
1700132434.3531759,10808256,0.0
1700132466.6219635,10840960,0.0
1700132494.087471,10866848,0.0
1700132535.1900291,10904384,0.0
1700132567.5453115,10937824,0.0
1700132652.8720741,11028992,0.0
1700132685.1218584,11061376,0.0
1700132719.5213516,11094144,0.0
1700132792.5643861,11172320,-1.0
1700133066.5375435,11452704,0.0
1700133142.164782,11538528,0.0
1700133269.6221704,11675648,0.0
1700133270.1991434,11676352,0.0
1700133341.1672504,11745376,0.0
1700133665.157147,12097952,-1.0
1700133769.799684,12200416,0.0
1700134452.2350254,12956960,0.0
1700134498.6049306,13009984,0.0
1700134638.8760026,13176384,0.0
1700134685.5509648,13230432,0.0
1700134923.0924196,13477536,0.0
1700134961.982113,13519968,0.0
1700135001.6043205,13564992,0.0
1700135080.9869523,13645568,0.0
1700135505.9034345,14094432,0.0
1700135538.4748855,14132480,-1.0
1700135877.5128543,14500096,-1.0
1700135952.4752471,14587648,0.0
1700136082.957037,14728544,0.0
1700136112.912811,14756736,0.0
1700136178.1680946,14832096,0.0
1700136192.2399743,14849280,0.0
1700136198.528579,14857856,0.0
1700136331.343174,15015808,0.0
1700136371.5741167,15062624,0.0
1700136478.466959,15185408,0.0
1700136547.7127316,15260576,0.0
1700136685.975737,15403232,0.0
1700136746.4138765,15479680,0.0
1700136827.8524072,15577984,0.0
1700137072.64047,15862336,0.0
1700137165.3238356,15964032,-1.0
1700137276.9412541,16068352,0.0
1700137290.799355,16081120,0.0
1700137474.6540217,16278528,0.0
1700137482.852678,16286848,0.0
1700137525.3969016,16340448,0.0
1700137576.4661095,16402208,0.0
1700137728.4401057,16589504,-1.0
1700137932.5998003,16833792,0.0
1700138521.9561195,17473056,1.0
1700138666.7815068,17627904,0.0
1700139076.8768091,18076640,0.0
1700139105.976669,18110208,-1.0
1700139119.4045963,18124992,0.0
1700139141.2127318,18150752,-1.0
1700139178.0833354,18189984,0.0
1700139346.259175,18368160,0.0
1700140270.5106797,19387328,-1.0
1700140276.2812865,19394528,0.0
1700140278.7065434,19397600,0.0
1700140283.85432,19401440,0.0
1700140536.8144095,19669120,0.0
1700140605.0143607,19746624,0.0
1700140877.342199,20025120,-1.0
1700140881.4524338,20031072,0.0
1700140907.937336,20062880,0.0
1700141206.6893442,20378080,-1.0
1700141292.5406423,20477888,0.0
1700141388.8758729,20591200,-1.0
1700141439.0418031,20648672,0.0
1700141546.1790576,20771040,-1.0
1700141587.8472948,20815968,0.0
1700141655.6168995,20885376,0.0
1700141859.1108794,21117888,1.0
1700141997.3103786,21282240,0.0
1700142536.3568282,21854784,0.0
1700142571.2377102,21897344,0.0
1700142594.370664,21924672,0.0
1700142754.662689,22120896,-1.0
1700142861.0418987,22250912,0.0
1700142917.3645728,22320576,0.0
1700142928.4756699,22332864,0.0
1700142992.4855206,22412416,0.0
1700143110.4112635,22549952,-1.0
1700143146.3872032,22592576,0.0
1700143492.4773436,22960832,0.0
1700143846.9771104,23344608,0.0
1700143942.9118493,23450880,0.0
1700144430.3036199,23986144,0.0
1700144769.5826743,24354496,0.0
1700144799.7522154,24389696,0.0
1700145094.300696,24699168,0.0
1700145095.3402736,24700160,0.0
1700145200.0692537,24796320,0.0
1700145272.2386851,24885920,0.0
1700145928.1213808,25671776,0.0
1700146011.543416,25762560,1.0
1700146015.3424451,25766720,0.0
1700146242.0755088,26007680,0.0
1700146274.6465805,26048288,0.0
1700146334.9797654,26119744,0.0
1700146424.5043652,26227552,-1.0
1700146467.6226907,26279456,1.0
1700146518.983925,26339680,0.0
1700146569.9369903,26397056,0.0
1700146689.4199975,26532512,0.0
1700146884.2700737,26729920,0.0
1700147089.133763,26938208,0.0
1700147147.8938646,27004032,0.0
1700147353.6207435,27213920,0.0
1700147666.214962,27549472,0.0
1700147699.0565376,27589312,-1.0
1700147760.837992,27661696,0.0
1700148000.3328075,27929120,-1.0
1700148049.2277992,27975360,0.0
1700148153.6987326,28097536,0.0
1700148316.6714666,28289408,-1.0
1700148327.544039,28301728,0.0
1700148394.4757233,28377344,1.0
1700148594.9591384,28583552,0.0
1700148771.7533824,28794880,0.0
1700149005.438928,29066816,-1.0
1700149037.4570038,29103680,0.0
1700149096.9251416,29166848,1.0
1700149215.662286,29278592,0.0
1700149257.6387749,29319264,0.0
1700149315.8902194,29373088,0.0
1700149884.8952272,30064928,0.0
1700150031.8412893,30238784,0.0
1700150043.9792817,30252000,1.0
1700150352.447769,30576416,-1.0
1700150525.424721,30749728,0.0
1700150592.3199642,30827872,0.0
1700150635.8951125,30876992,0.0
1700150653.7263305,30897472,-1.0
1700150689.0769837,30935456,0.0
1700150790.5312066,31044576,-1.0
1700150840.6525557,31090208,-1.0
1700150857.5278926,31105632,0.0
1700150880.2900915,31131456,-1.0
1700151033.0584626,31310464,0.0
1700151042.010152,31323584,0.0
1700151051.075253,31333120,1.0
1700151269.9882827,31556192,0.0
1700151611.389694,31959872,0.0
1700151813.1195948,32173120,0.0
1700151847.7316463,32213984,0.0
1700151851.6002126,32220096,1.0
1700151882.4466166,32257312,0.0
1700152079.5520647,32491744,1.0
1700152191.3919852,32620896,0.0
1700152222.0314116,32655904,-1.0
1700152476.6031904,32906112,0.0
1700152677.9539626,33147104,0.0
1700152690.7880318,33162656,1.0
1700152718.939866,33198080,-1.0
1700152735.0223358,33218912,1.0
1700152766.3792448,33257696,0.0
1700153172.2008486,33742848,0.0
1700153448.3834667,34045120,0.0
1700153465.040752,34059648,1.0
1700153879.6507318,34503360,0.0
1700153995.3666003,34632928,0.0
1700154267.456044,34917504,1.0
1700154358.2732053,35021568,-1.0
1700154414.2184863,35082912,1.0
1700154963.4056034,35672512,0.0
1700155349.0208597,36141792,0.0
1700155368.269605,36162720,0.0
1700155515.9093745,36329952,0.0
1700155586.0805945,36403264,0.0
1700155732.602492,36558208,-1.0
1700155821.332101,36654400,0.0
1700155898.82563,36729568,0.0
1700156033.4076834,36878752,0.0
1700156224.1602416,37081344,0.0
1700156262.7601378,37114112,0.0
1700156738.0815294,37659968,0.0
1700156902.5614314,37854656,-1.0
1700157070.0469077,38038656,0.0
1700157077.1276069,38043808,-1.0
1700157085.1722548,38054112,0.0
1700157188.3752906,38147264,0.0
1700157265.2841127,38212992,0.0
1700157280.886487,38224832,1.0
1700157324.8864372,38264288,0.0
1700157382.1941986,38331008,0.0
1700157622.3741083,38637376,0.0
1700157756.6362529,38807872,0.0
1700157818.7819042,38884576,1.0
1700157962.5868976,39062080,0.0
1700158337.4555404,39515712,0.0
1700158338.2884169,39516832,0.0
1700158359.1934872,39540160,0.0
1700158429.5486171,39620352,0.0
1700158720.5007522,39933952,-1.0
1700158750.1997447,39968448,0.0
1700158783.6455946,40006688,0.0
1700158805.8775954,40029856,0.0
1700158924.5098207,40151584,0.0
1700159415.2108777,40695232,0.0
1700159516.732973,40815104,-1.0
1700159870.468244,41215872,0.0
1700159971.5772808,41338432,1.0
1700159980.562914,41351904,1.0
1700160046.3774755,41432640,1.0
1700160113.3904073,41513088,0.0
1700160219.8172338,41638080,0.0
1700160290.4954138,41719104,1.0
1700160456.795385,41887072,1.0
1700160609.6462822,42037504,1.0
1700160713.5754874,42167008,0.0
1700160952.632028,42461536,1.0
1700161034.781238,42562016,0.0
1700161085.0279844,42622752,1.0
1700161087.7349072,42626336,-1.0
1700161109.189831,42650496,1.0
1700161278.7212312,42852224,1.0
1700161456.5105596,43045280,0.0
1700161502.249708,43086528,0.0
1700161603.7732792,43202240,-1.0
1700161894.121419,43522112,-1.0
1700161956.1665301,43596224,0.0
1700162237.8803356,43911072,0.0
1700162314.9966085,44005664,-1.0
1700162490.0534036,44190208,0.0
1700162569.0230765,44282528,0.0
1700162621.4765353,44345792,0.0
1700162878.8432233,44649856,-1.0
1700163041.5588872,44814560,1.0
1700163426.6161103,45291648,0.0
1700163452.4188192,45319584,0.0
1700163507.4429634,45380672,0.0
1700163522.1296563,45395200,1.0
1700163623.6034071,45493120,0.0
1700163644.2136579,45513408,0.0
1700163686.6707954,45553280,0.0
1700163831.5266066,45736416,0.0
1700163841.688487,45748928,0.0
1700163845.477842,45754752,0.0
1700163869.0785623,45784832,-1.0
1700164030.3326592,45993408,0.0
1700164341.0194004,46390016,0.0
1700164372.7993233,46430112,-1.0
1700165102.882472,47253376,0.0
1700165313.0633466,47467456,0.0
1700165408.8294723,47582368,0.0
1700165652.5982516,47860768,0.0
1700165667.4998174,47876512,0.0
1700165772.037361,47975840,0.0
1700165828.5647004,48024608,0.0
1700165831.3673873,48027840,-1.0
1700165846.332537,48039264,0.0
1700165879.093027,48068960,0.0
1700165917.2059073,48114848,0.0
1700165931.5148957,48132960,0.0
1700166030.22956,48256288,0.0
1700166061.722496,48297024,1.0
1700166219.049119,48492576,0.0
1700166285.3618064,48574336,-1.0
1700166406.9356244,48723200,0.0
1700166585.3895512,48937344,0.0
1700166744.258016,49118528,0.0
1700166798.8905487,49175360,0.0
1700166929.034062,49307424,0.0
1700167040.506085,49434912,1.0
1700167161.6436696,49560832,0.0
1700167210.9689324,49618720,0.0
1700167224.3598201,49634336,1.0
1700167332.9311519,49759552,0.0
1700167632.7338836,50084096,0.0
1700167717.775003,50183296,-1.0
1700167756.6124065,50227264,0.0
1700167903.40182,50391648,0.0
1700168130.334169,50594336,0.0
1700168173.791849,50650560,-1.0
1700168264.4130883,50764800,0.0
1700168373.7466226,50902912,1.0
1700168579.5793817,51151264,0.0
1700168774.2450967,51386944,0.0
1700168883.6675074,51515200,0.0
1700168933.8088486,51574624,0.0
1700169913.3064778,52650048,0.0
1700170023.9958212,52781088,0.0
1700170029.8372693,52788736,0.0
1700170058.6315897,52821856,1.0
1700170095.30904,52862880,0.0
1700170307.6309178,53070144,0.0
1700170345.1630332,53102816,0.0
1700170424.1273544,53191072,0.0
1700170429.5207083,53198688,-1.0
1700170458.167702,53231840,0.0
1700170567.592808,53373408,-1.0
1700170575.618165,53381376,0.0
1700170662.1811967,53491936,0.0
1700170909.186393,53795072,0.0
1700170995.8883393,53901152,0.0
1700171139.979441,54069216,0.0
1700171468.3011088,54424000,-1.0
1700171834.8003433,54827104,0.0
1700172205.8766723,55239168,1.0
1700172318.6970985,55369632,1.0
1700172482.7080002,55538944,0.0
1700172760.6698399,55840416,1.0
1700172814.1600761,55908448,0.0
1700172985.5954409,56122656,0.0
1700173090.2583842,56251104,-1.0
1700173156.1861978,56331936,0.0
1700173194.831198,56377856,1.0
1700173263.768953,56462016,1.0
1700173393.199284,56617248,0.0
1700173495.282357,56730880,0.0
1700173524.1838343,56760928,1.0
1700173781.2918987,57041216,0.0
1700173966.0803263,57227776,0.0
1700174362.3966823,57663040,0.0
1700174385.6048176,57689536,0.0
1700174471.0710328,57792032,0.0
1700174811.9454417,58140032,0.0
1700174852.5488453,58175520,0.0
1700175112.1809564,58502688,0.0
1700175200.138997,58611680,0.0
1700175238.5454366,58658336,0.0
1700175265.0133479,58691200,0.0
1700175418.2938256,58882208,-1.0
1700175595.440213,59095616,1.0
1700175607.1818166,59109312,0.0
1700175636.3299417,59143776,-1.0
1700175784.3097708,59307072,0.0
1700175824.842779,59346048,0.0
1700175928.992623,59452096,0.0
1700176014.9470944,59549920,0.0
1700176197.5410795,59734944,0.0
1700176580.3035226,60157280,0.0
1700176633.1051548,60221504,1.0
1700177051.0576649,60668832,0.0
1700177288.4983222,60950560,0.0
1700177398.6940477,61092000,-1.0
1700177814.4927776,61602592,0.0
1700178044.2277226,61861952,1.0
1700178193.4613135,62024512,0.0
1700178206.586066,62040064,0.0
1700178519.4479024,62376320,0.0
1700178655.546699,62533184,0.0
1700178716.336482,62597952,-1.0
1700178733.2127354,62614784,0.0
1700178794.2441308,62674208,0.0
1700179032.7050061,62960480,0.0
1700179067.645726,62998752,-1.0
1700179465.3026738,63416512,1.0
1700179583.9849358,63567744,0.0
1700180055.3119576,64149984,1.0
1700180096.252852,64198816,0.0
1700180151.5234156,64263680,0.0
1700180347.27555,64478016,0.0
1700180509.3341913,64658656,0.0
1700180860.7625527,65048608,0.0
1700181206.0749192,65431968,0.0
1700181233.8899422,65464736,0.0
1700181608.3514135,65850752,0.0
1700181686.349149,65938400,0.0
1700181708.2266965,65964832,0.0
1700181791.0937386,66072384,0.0
1700181887.942222,66192608,0.0
1700181919.8358684,66234464,0.0
1700181945.1593645,66265440,-1.0
1700182015.394968,66352704,0.0
1700182028.8521802,66369216,0.0
1700182090.695519,66444672,0.0
1700182107.7356148,66466240,1.0
1700182132.6249378,66496512,1.0
1700182311.7133431,66713600,0.0
1700182330.7271407,66734304,1.0
1700182338.9950414,66746368,0.0
1700182384.78102,66797952,0.0
1700182563.0649972,67001184,0.0
1700182694.2315397,67137440,1.0
1700182708.9472024,67154624,0.0
1700182718.5418704,67165280,0.0
1700182771.0991247,67225984,0.0
1700183211.6413357,67707232,1.0
1700183252.5740945,67748352,0.0
1700183454.082556,67976192,0.0
1700183466.3743184,67990912,1.0
1700183735.9214246,68298304,0.0
1700183799.9081237,68358656,1.0
1700183901.4885995,68451424,0.0
1700183965.056837,68523392,0.0
1700184059.8891938,68644256,0.0
1700184253.92157,68887616,0.0
1700184266.6501932,68903264,0.0
1700184371.9003558,69032608,0.0
1700184397.2017384,69063040,1.0
1700184558.7717838,69262304,1.0
1700184757.2590203,69496544,1.0
1700184907.9563508,69652896,0.0
1700185005.2623787,69756928,1.0
1700185085.6375763,69846656,0.0
1700185113.896092,69878336,1.0
1700185176.7188468,69945952,0.0
1700185289.0949397,70054208,0.0
1700185319.2228947,70090144,0.0
1700185440.1046445,70228128,0.0
1700185766.722222,70588896,0.0
1700185884.9926383,70725824,0.0
1700185906.5451713,70747872,0.0
1700186143.6137247,70976160,0.0
1700186146.2600753,70979616,0.0
1700186195.9085374,71024736,0.0
1700186373.6541862,71253440,0.0
1700186434.3923512,71329632,0.0
1700186436.490324,71332512,0.0
1700186483.9895449,71390976,1.0
1700186535.8724241,71455744,0.0
1700186595.2566128,71531392,0.0
1700186632.758373,71577344,1.0
1700186674.8489094,71629600,-1.0
1700186754.8274455,71728000,0.0
1700187034.2859457,72058560,1.0
1700187155.6973777,72188832,0.0
1700187243.5925097,72277696,-1.0
1700187568.7624438,72627232,0.0
1700187788.353037,72875104,0.0
1700187818.4974563,72905280,0.0
1700188272.6184154,73423296,0.0
1700188354.114867,73500064,0.0
1700188393.7391522,73536192,0.0
1700188577.1217506,73737056,-1.0
1700188659.8619008,73842080,1.0
1700188758.6121976,73964800,0.0
1700188875.4224513,74110528,0.0
1700188932.9881778,74183904,1.0
1700188940.5718532,74192064,0.0
1700188955.0219207,74209888,0.0
1700189031.6747568,74303776,0.0
1700189119.8782969,74413888,-1.0
1700189153.845952,74453216,0.0
1700189244.1605732,74561472,1.0
1700189508.9573348,74844480,-1.0
1700189639.465931,74999776,0.0
1700189889.8276014,75253856,0.0
1700189974.1158197,75352160,0.0
1700190003.71728,75386368,1.0
1700190035.0707963,75422080,0.0
1700190052.7574174,75441408,0.0
1700190202.5721564,75598528,-1.0
1700190265.8445637,75676928,0.0
1700190310.5304658,75727456,0.0
1700190366.913035,75794144,1.0
1700190404.4065497,75841024,0.0
1700190465.5721135,75908512,0.0
1700190779.1965597,76217760,0.0
1700190944.5918794,76428256,-1.0
1700191146.7629695,76683104,0.0
1700191178.6284163,76725024,-1.0
1700191224.123181,76779808,0.0
