Wall time,Step,Value
1700508676.977417,168384,-1.0
1700508731.2852943,231744,-1.0
1700508903.7487793,435552,-1.0
1700508976.6755404,521792,-1.0
1700509057.3615973,616960,0.0
1700509169.2804115,754880,-1.0
1700509343.7146313,969888,-1.0
1700509427.5721738,1073376,0.0
1700509467.7129595,1123296,-1.0
1700509688.6014829,1394944,0.0
1700509716.704484,1430496,-1.0
1700509728.6372726,1444544,-1.0
1700509759.9108508,1485184,0.0
1700509771.8413262,1499456,0.0
1700510078.6505184,1874464,0.0
1700510095.440271,1895808,-1.0
1700510561.9863696,2446144,0.0
1700510625.5324347,2519936,0.0
1700510734.0065336,2637920,-1.0
1700510751.6507962,2658112,0.0
1700511096.9478853,3024864,0.0
1700511245.248195,3181376,0.0
1700511269.0615494,3206176,0.0
1700511557.927527,3516672,0.0
1700511587.4179294,3549728,0.0
1700511635.8326185,3603584,-1.0
1700511994.435792,3983872,0.0
1700512067.5861406,4070624,-1.0
1700512079.923281,4084000,-1.0
1700512130.1613605,4142880,-1.0
1700512262.8155804,4291040,0.0
1700512514.7979429,4528448,0.0
1700512757.5041428,4797952,0.0
1700512973.7466476,5063232,0.0
1700513054.2118993,5163392,0.0
1700513114.7545695,5241216,0.0
1700513141.750112,5274496,0.0
1700513195.030796,5340448,0.0
1700513271.1319494,5434176,-1.0
1700513444.8890898,5647840,0.0
1700513586.1115584,5818208,0.0
1700513614.0228095,5852736,-1.0
1700513708.7612038,5964864,0.0
1700513724.2234592,5984672,0.0
1700513768.332919,6038752,-1.0
1700513917.5216498,6212544,0.0
1700513961.7600405,6264864,0.0
1700514010.7738237,6323712,0.0
1700514042.6943262,6358432,0.0
1700514222.2301621,6568416,0.0
1700514376.6835122,6735808,0.0
1700514394.0529943,6754784,-1.0
1700514493.463194,6855424,0.0
1700514568.3963087,6924928,0.0
1700514629.9568348,6995584,0.0
1700514871.3787475,7259136,0.0
1700515072.255275,7453056,0.0
1700515107.0343816,7484960,0.0
1700515273.9581552,7674400,-1.0
1700515350.2130127,7759200,0.0
1700515627.8646817,8036192,0.0
1700515774.3206632,8174176,0.0
1700515920.0665908,8348288,0.0
1700516134.4936469,8602976,0.0
1700516140.311481,8612448,-1.0
1700516195.190354,8677856,0.0
1700516233.514351,8722624,0.0
1700516262.4056213,8757408,-1.0
1700516289.2923372,8788576,0.0
1700516316.4213037,8820416,0.0
1700516335.2715924,8843904,0.0
1700516341.2289882,8848288,0.0
1700516673.2285757,9236096,0.0
1700516763.2865376,9337344,0.0
1700516801.1583092,9377984,0.0
1700516832.318241,9412928,0.0
1700516862.0796359,9445280,-1.0
1700517208.5500472,9800160,-1.0
1700517243.9999895,9840224,0.0
1700517326.4757388,9927712,0.0
1700517357.49844,9958912,0.0
1700517387.2391691,9988192,0.0
1700517408.2448359,10009152,0.0
1700517443.6677952,10041920,0.0
1700517477.9006393,10071392,0.0
1700517554.6409137,10155616,-1.0
1700517582.814738,10186944,0.0
1700517612.0736814,10219712,0.0
1700517678.95589,10291296,0.0
1700517931.3306358,10549600,0.0
1700517996.9007595,10624032,0.0
1700518107.9338977,10749504,0.0
1700518108.980474,10751232,0.0
1700518162.0166342,10812672,0.0
1700518466.1353362,11133664,0.0
1700518575.6628144,11230912,0.0
1700519211.160355,11947680,0.0
1700519255.5275316,12001184,0.0
1700519394.9493303,12163936,0.0
1700519434.5552335,12209312,0.0
1700519653.0821693,12460992,-1.0
1700519692.2083066,12501824,0.0
1700519731.107806,12546720,0.0
1700519806.7313912,12624992,0.0
1700520223.1167412,13056544,0.0
1700520261.7578661,13095904,0.0
1700520595.1034358,13461888,-1.0
1700520681.8245425,13546304,0.0
1700520802.225421,13684512,0.0
1700520822.3699877,13709376,0.0
1700520890.1261175,13785792,0.0
1700520906.738278,13805056,0.0
1700520908.6573067,13807264,0.0
1700521056.4733868,13967104,0.0
1700521103.6664884,14014400,0.0
1700521226.696121,14141408,0.0
1700521292.2648554,14221184,0.0
1700521412.3489377,14359520,-1.0
1700521481.9593558,14438048,0.0
1700521570.1448224,14536608,0.0
1700521870.1807683,14827008,0.0
1700521974.9504168,14930496,-1.0
1700522062.070358,15038240,0.0
1700522071.2948356,15048736,0.0
1700522245.6362345,15259520,0.0
1700522248.2986422,15263616,0.0
1700522344.009947,15379008,0.0
1700522505.0937076,15569120,-1.0
1700522716.0621545,15816320,0.0
1700523308.4228973,16456672,-1.0
1700523466.200444,16609792,-1.0
1700523891.244087,17062208,-1.0
1700523919.2922945,17094784,0.0
1700523932.2930124,17109696,-1.0
1700523953.471609,17135808,0.0
