Wall time,Step,Value
1699956012.9593515,169568,-1.0
1699956066.5561306,235680,-1.0
1699956237.7014692,442560,-1.0
1699956305.0433724,525056,-1.0
1699956380.0758789,617440,-1.0
1699956497.2076032,759200,-1.0
1699956677.6721988,974688,-1.0
1699956763.6372848,1073696,-1.0
1699956809.428074,1125664,-1.0
1699957049.8068695,1390432,-1.0
1699957083.3330905,1428256,0.0
1699957096.181168,1442944,-1.0
1699957126.1575263,1479840,0.0
1699957138.6569893,1494368,-1.0
1699957457.6635132,1870688,0.0
1699957475.3623023,1892928,0.0
1699957963.1255317,2443360,0.0
1699958022.6930132,2514720,0.0
1699958126.6071868,2636832,0.0
1699958148.9718964,2662016,0.0
1699958516.214063,3046176,0.0
1699958683.4409802,3218400,0.0
1699958705.6216168,3243872,-1.0
1699958989.9086943,3548192,0.0
1699959018.9302807,3580928,-1.0
1699959072.2011123,3638048,0.0
1699959419.0797286,4010144,0.0
1699959505.6553676,4101152,0.0
1699959514.6477563,4112192,0.0
1699959575.917961,4171072,0.0
1699959719.5069976,4322720,0.0
1699959928.252859,4560352,0.0
1699960174.3804586,4827328,0.0
1699960400.723368,5093568,-1.0
1699960485.1099675,5191328,0.0
1699960551.7180295,5270464,-1.0
1699960579.0084715,5303232,0.0
1699960636.117767,5372384,0.0
1699960713.1531436,5462144,0.0
1699960901.540767,5678400,0.0
1699961058.587355,5842496,-1.0
1699961094.6838813,5877536,0.0
1699961204.4008024,5997216,0.0
1699961221.3726149,6016160,-1.0
1699961274.0993567,6070880,0.0
1699961448.7198536,6255264,0.0
1699961494.4346373,6306400,0.0
1699961550.1862938,6365056,0.0
1699961584.8700085,6400640,-1.0
1699961780.5962746,6607520,0.0
1699961932.6839836,6768672,0.0
1699961954.1500251,6789888,0.0
1699962046.3012657,6889696,0.0
1699962110.664876,6963712,0.0
1699962172.5818496,7037984,0.0
1699962414.7805388,7301184,0.0
1699962581.7299213,7486080,0.0
1699962605.799315,7513216,0.0
1699962766.6410155,7699232,0.0
1699962847.2725334,7786016,0.0
1699963117.700778,8043552,0.0
1699963235.257178,8184256,0.0
1699963382.899992,8363040,0.0
1699963610.8605716,8632864,0.0
1699963618.3804307,8640096,0.0
1699963675.5855997,8705984,0.0
1699963709.609304,8746496,0.0
1699963739.4094188,8781024,0.0
1699963766.897842,8812096,0.0
1699963792.4667497,8840256,0.0
1699963816.0820935,8866432,0.0
1699963816.3122404,8866752,0.0
1699964190.8723154,9257952,0.0
1699964287.278165,9361024,0.0
1699964328.5161395,9403008,0.0
1699964366.2667375,9436864,0.0
1699964394.8617446,9469632,0.0
1699964736.865253,9830080,0.0
1699964779.0737545,9879520,0.0
1699964855.2346003,9965600,0.0
1699964877.9449794,9993920,0.0
1699964904.996443,10024448,0.0
1699964926.1966133,10047136,0.0
1699964954.4549127,10078880,0.0
1699964982.063765,10109504,0.0
1699965057.6455376,10194592,0.0
1699965078.072909,10220544,-1.0
1699965104.971617,10252896,0.0
1699965167.6207078,10325664,0.0
1699965395.4848652,10589504,0.0
1699965460.4334717,10663840,-1.0
1699965587.972513,10795680,0.0
1699965596.4807572,10802464,0.0
1699965660.9117959,10860832,0.0
1699965971.3591893,11182464,0.0
1699966068.03392,11281664,-1.0
1699966732.8360002,11998688,0.0
1699966783.9152958,12052032,0.0
1699966930.7633364,12209600,0.0
1699966971.9113688,12256512,0.0
1699967187.424668,12501856,0.0
1699967221.5509784,12538816,0.0
1699967261.9690208,12582432,0.0
1699967344.7960486,12661760,0.0
1699967762.8916445,13097504,0.0
1699967798.71758,13137728,0.0
1699968170.5971828,13508096,0.0
1699968242.088622,13597632,0.0
1699968355.540586,13735200,0.0
1699968380.0600705,13764352,0.0
1699968439.247623,13836928,0.0
1699968456.533099,13858432,0.0
1699968463.8489034,13865952,0.0
1699968594.6479757,14021152,0.0
1699968635.7701974,14069312,0.0
1699968746.4896047,14194816,0.0
1699968818.038294,14274080,0.0
1699968966.089094,14418176,0.0
1699969030.300581,14492352,0.0
1699969119.115617,14589504,0.0
1699969399.2117512,14882144,0.0
1699969499.3377097,14986880,-1.0
1699969612.9702652,15094272,0.0
1699969625.2658212,15107872,0.0
1699969808.3703592,15317056,0.0
1699969815.0311038,15322528,0.0
1699969866.7528527,15379232,0.0
1699969929.0035539,15440896,-1.0
1699970111.3545268,15630688,0.0
1699970325.9375527,15877856,0.0
1699970348.9076226,15904352,0.0
1699970902.453569,16532352,0.0
1699971048.3207314,16680704,0.0
1699971467.1390433,17140672,0.0
1699971493.7139962,17173440,0.0
1699971501.5383542,17184928,0.0
1699971522.4276142,17209760,0.0
1699971556.1578045,17251584,0.0
1699971708.9132595,17432640,0.0
1699972643.4954908,18456576,0.0
1699972654.851495,18466784,0.0
1699972660.609903,18473312,0.0
1699972663.8237474,18476704,0.0
1699972918.8950372,18752352,0.0
1699972992.462257,18832480,0.0
1699973252.6061091,19116800,0.0
1699973260.937409,19125728,0.0
1699973288.5930612,19158272,0.0
1699973575.0828881,19471104,-1.0
1699973667.2189817,19572352,0.0
1699973764.4878466,19690720,0.0
1699973816.739176,19753280,0.0
1699973922.890949,19876832,0.0
1699973958.7353976,19920096,0.0
1699974022.9762876,19992192,0.0
1699974248.8923821,20226848,0.0
1699974402.9386358,20385056,0.0
1699974938.535992,20970656,0.0
1699974984.1325867,21016064,0.0
1699975015.8789062,21045120,0.0
1699975197.6164293,21247488,0.0
1699975314.7005725,21378784,0.0
1699975382.4724858,21447808,0.0
1699975401.2537196,21465952,0.0
1699975479.7364624,21545152,0.0
1699975600.748669,21692288,-1.0
1699975639.8686497,21737600,0.0
1699975979.101939,22109888,0.0
1699976309.5780585,22501952,0.0
1699976398.7788236,22601152,-1.0
1699976914.3871636,23150208,0.0
1699977252.8941956,23528320,0.0
1699977293.0967798,23566400,0.0
1699977574.1715975,23871424,0.0
1699977577.0485597,23871872,0.0
1699977662.0441942,23966752,0.0
1699977756.8196297,24060960,0.0
1699978499.307291,24875616,-1.0
1699978589.8666513,24968288,0.0
1699978595.6901588,24973824,0.0
1699978803.2276695,25220000,0.0
1699978839.7415457,25262368,0.0
1699978903.3833408,25330784,0.0
1699979006.8350022,25448128,0.0
1699979051.3438065,25504256,-1.0
1699979104.9942298,25569792,0.0
1699979159.6399543,25634656,0.0
1699979283.70749,25779744,0.0
1699979460.1716132,25976352,0.0
