Wall time,Step,Value
1700123163.5275257,176608,888.0
1700123223.7022824,252480,908.0
1700123399.415558,464288,962.0
1700123478.4328563,557056,1024.0
1700123572.3071795,662560,909.0
1700123715.0889623,814912,1020.0
1700123960.0414631,1058048,1024.0
1700124053.520358,1172672,908.0
1700124095.6228127,1224544,1024.0
1700124349.975069,1524992,1024.0
1700124380.2371895,1562080,1024.0
1700124393.5398002,1577408,1024.0
1700124433.4062977,1622720,1002.0
1700124442.9055328,1636448,1024.0
1700124809.5631492,2050272,635.0
1700124828.096291,2071168,1005.0
1700125361.2886121,2668928,1021.0
1700125428.9989965,2749408,993.0
1700125540.3448803,2878336,1024.0
1700125556.1670015,2896672,1024.0
1700125563.632269,2903712,1024.0
1700125968.7091959,3318880,995.0
1700126109.9207177,3495776,1024.0
1700126129.232594,3521664,919.0
1700126395.6518347,3852736,1024.0
1700126424.12618,3888608,1024.0
1700126468.3680775,3946048,1024.0
1700126787.2560754,4349120,1024.0
1700126862.1581287,4443296,1024.0
1700126870.9234366,4456448,1024.0
1700126922.309494,4521984,1024.0
1700127046.6185064,4679648,956.0
1700127252.704133,4940960,1024.0
1700127485.7739863,5235136,1024.0
1700127716.9904463,5527072,1024.0
1700127801.631505,5636096,1024.0
1700127864.6638813,5715776,1024.0
1700127894.632495,5750816,1024.0
1700127951.2081754,5825472,918.0
1700128032.6484659,5930208,1024.0
1700128217.7203984,6162336,1024.0
1700128361.3782473,6346624,1024.0
1700128389.5949087,6383296,675.0
1700128490.1006665,6509536,1024.0
1700128504.4048395,6528352,1024.0
1700128552.614804,6588032,1024.0
1700128623.888873,6680768,1024.0
1700128701.589056,6779072,1024.0
1700128750.2998986,6840608,1024.0
1700128798.971606,6900864,1024.0
1700128829.4689894,6941568,1024.0
1700128999.6987486,7158752,405.0
1700129138.711486,7335808,1024.0
1700129157.4691334,7357184,1024.0
1700129240.8101296,7465632,975.0
1700129300.6684704,7539904,1024.0
1700129364.9856136,7622176,1024.0
1700129592.383008,7913216,1024.0
1700129751.8671558,8114368,1024.0
1700129777.5923975,8147136,1024.0
1700129933.956165,8347072,1024.0
1700130010.6247807,8445376,1024.0
1700130240.6517007,8733632,1024.0
