Wall time,Step,Value
1700122890.727978,174272,902.0
1700122953.037577,249184,830.0
1700123131.355474,462784,981.0
1700123207.3229618,554752,979.0
1700123302.4975817,665088,1024.0
1700123429.1112814,818304,1024.0
1700123628.4855015,1050240,956.0
1700123727.1863873,1168544,1024.0
1700123771.8701606,1221568,1024.0
1700124038.6858685,1513056,1024.0
1700124082.910219,1553696,914.0
1700124100.3417513,1571744,1024.0
1700124134.9809158,1607808,1024.0
1700124156.3605542,1631776,1024.0
1700124548.306731,2031808,979.0
1700124571.991153,2054528,918.0
1700125126.7505987,2655296,1024.0
1700125203.331606,2737664,1024.0
1700125341.3989544,2869504,405.0
1700125367.9177773,2900000,1024.0
1700125728.6520836,3305664,1024.0
1700125923.9161417,3480704,1024.0
1700125950.0652835,3503392,1024.0
1700126244.900877,3836384,1024.0
1700126272.5448034,3870208,1024.0
1700126323.844285,3933312,1024.0
1700126657.8966715,4345504,1024.0
1700126736.979557,4440704,1024.0
1700126747.5464282,4456448,1024.0
1700126805.532548,4523072,1024.0
1700126937.5166037,4684576,780.0
1700127163.3113966,4949504,975.0
1700127419.0504851,5244448,1024.0
1700127698.3509202,5531872,1024.0
1700127795.984872,5638816,982.0
1700127872.3091981,5724480,1024.0
1700127908.7363045,5765792,1024.0
1700127976.9458902,5837248,1024.0
1700128086.5836039,5945376,1024.0
1700128290.119631,6177472,1024.0
1700128443.4611745,6352288,650.0
1700128481.9242294,6392608,975.0
1700128597.0202367,6512192,1024.0
1700128616.9399252,6531360,1024.0
1700128688.2264612,6595104,1024.0
1700128846.4637296,6782976,1024.0
1700128898.6300652,6842752,911.0
1700128949.1029487,6899200,1024.0
1700128983.4160526,6939712,1024.0
1700129186.8345046,7160192,1024.0
1700129374.6144156,7341696,1024.0
1700129395.1574621,7362560,1024.0
1700129488.4659572,7475808,1024.0
1700129546.7119355,7547040,1024.0
1700129611.8948567,7625856,1024.0
1700129844.0651994,7908384,1024.0
1700130015.7867672,8112992,1024.0
1700130037.723105,8141440,1024.0
1700130202.8017344,8338048,1024.0
1700130283.6689694,8432256,918.0
1700130525.4975684,8714080,1024.0
1700130662.0347984,8866368,1024.0
1700130836.249857,9053888,1024.0
1700131113.515682,9335456,990.0
1700131120.256393,9341440,1024.0
1700131184.1947942,9413856,1024.0
1700131226.6948276,9458528,1024.0
1700131262.4307241,9495008,1024.0
1700131296.3453906,9527328,1024.0
1700131332.4734669,9557472,1024.0
1700131358.458466,9586912,953.0
1700131359.6247816,9588864,1024.0
1700131750.768281,10013024,460.0
1700131849.6292918,10125312,1024.0
1700131884.5827875,10167520,1024.0
1700131919.297041,10207296,1024.0
1700131947.4732666,10242240,1024.0
1700132281.903653,10638848,470.0
1700132316.8187542,10680416,1024.0
1700132403.364405,10775488,1024.0
1700132434.3531528,10808256,1024.0
1700132466.6219206,10840960,1024.0
1700132494.0874465,10866848,1024.0
1700132535.1900063,10904384,1024.0
1700132567.5452876,10937824,1024.0
1700132652.8720508,11028992,1024.0
1700132685.1218247,11061376,1024.0
1700132719.5213287,11094144,1024.0
1700132792.5643585,11172320,995.0
1700133066.5375202,11452704,1024.0
1700133142.1647587,11538528,1024.0
1700133269.6221473,11675648,1024.0
1700133270.1991143,11676352,1024.0
1700133341.1672275,11745376,1024.0
1700133665.1571238,12097952,470.0
1700133769.7996607,12200416,1024.0
1700134452.2350025,12956960,1024.0
1700134498.6049073,13009984,1024.0
1700134638.875979,13176384,1024.0
1700134685.5509417,13230432,1024.0
1700134923.0923972,13477536,1024.0
1700134961.9820857,13519968,1024.0
1700135001.6042984,13564992,1024.0
1700135080.986929,13645568,1024.0
1700135505.9034104,14094432,1024.0
1700135538.4748623,14132480,615.0
1700135877.5128314,14500096,875.0
1700135952.4752245,14587648,1024.0
1700136082.9570136,14728544,1024.0
1700136112.9127882,14756736,1024.0
1700136178.1680715,14832096,1024.0
1700136192.239951,14849280,1024.0
1700136198.5285559,14857856,1024.0
1700136331.3431513,15015808,1024.0
1700136371.574094,15062624,1024.0
1700136478.466936,15185408,1024.0
1700136547.7127082,15260576,1024.0
1700136685.9757144,15403232,1024.0
1700136746.4138534,15479680,1024.0
1700136827.852385,15577984,1024.0
1700137072.640445,15862336,1024.0
1700137165.323812,15964032,977.0
1700137276.9412303,16068352,1024.0
1700137290.799332,16081120,1024.0
1700137474.653998,16278528,1024.0
1700137482.8526552,16286848,1024.0
1700137525.3968785,16340448,1024.0
1700137576.4660864,16402208,1024.0
1700137728.4400826,16589504,810.0
1700137932.5997748,16833792,1024.0
1700138521.9560957,17473056,928.0
1700138666.7814827,17627904,1024.0
1700139076.8767858,18076640,1024.0
1700139105.9766462,18110208,932.0
1700139119.4045699,18124992,1024.0
1700139141.212709,18150752,910.0
1700139178.0833073,18189984,1024.0
1700139346.2591522,18368160,1024.0
1700140270.5106554,19387328,545.0
1700140276.2812626,19394528,1024.0
1700140278.7065134,19397600,1024.0
1700140283.854297,19401440,1024.0
1700140536.8143864,19669120,1024.0
1700140605.014338,19746624,1024.0
1700140877.3421767,20025120,700.0
1700140881.4524112,20031072,1024.0
1700140907.9373128,20062880,1024.0
1700141206.689321,20378080,1013.0
1700141292.5406199,20477888,1024.0
1700141388.87585,20591200,955.0
1700141439.04178,20648672,1024.0
1700141546.1790354,20771040,996.0
1700141587.8472712,20815968,1024.0
1700141655.6168623,20885376,1024.0
1700141859.1108565,21117888,860.0
