Wall time,Step,Value
1700122890.727978,174272.0,902.0
1700122921.8983626,211746.73736868432,865.9819909954977
1700122991.7872653,295509.5598139607,904.3596922390082
1700123045.7520826,360417.4668293135,923.0477826314263
1700123097.2039833,421473.5636058542,943.2786473931619
1700123152.6603224,487777.5086867908,956.7658793170428
1700123220.8395452,568370.6700812068,956.6561393141798
1700123284.3547597,643655.3062132791,965.1036290554299
1700123338.7401726,708125.10612834,971.6738900850673
1700123409.0502956,788981.0788168717,976.9300910165892
1700123470.6172016,858848.9103394907,971.1805118269382
1700123523.383497,918584.2863575519,975.6063972522423
1700123570.7123868,971920.3409619133,979.3513697300687
1700123612.8169868,1019360.0158766232,982.561339177751
1700123675.6206963,1087330.2844383435,982.3222501735286
1700123732.0652146,1148234.8007867802,978.2718730125497
1700123814.7638237,1237596.7935042758,980.9833465432667
1700123892.564268,1321644.469867762,983.3935384015488
1700123969.5073042,1403846.4027436639,952.6768836315402
1700124040.094399,1479367.2441483915,956.2770365634524
1700124121.3089323,1567206.6117976732,959.5343069191827
1700124204.1092582,1655100.5284776576,962.4954514137074
1700124280.8587542,1736348.530325655,965.1990951594006
1700124363.6388693,1824860.4700611953,967.6774257499089
1700124440.9153538,1907660.3944801083,969.9574807638975
1700124514.245027,1986548.3271421697,972.0621381525464
1700124594.67648,2075058.1521955566,974.0108865409363
1700124672.2251952,2160691.598636612,975.8204304648527
1700124744.7948873,2240969.4528461676,977.505170386181
1700124814.4873145,2318148.255665268,979.0775867052233
1700124884.004884,2395635.790065259,972.5588872076289
1700124956.3433268,2476688.008492136,972.636360902819
1700125032.1716254,2561909.0756416665,974.2178795857883
1700125111.890096,2650710.643554787,975.7063595632873
1700125189.8900473,2737545.1601407644,975.8892531228163
1700125265.713689,2821976.5127493097,977.249194216824
1700125338.4406748,2902980.294403963,978.535617255306
1700125409.1679115,2981635.6805058457,979.7543262953325
1700125479.132678,3059082.525915171,980.9105301060705
1700125550.7870765,3138572.8706907807,982.0089165797715
1700125622.761046,3218534.811288158,973.7480483331645
1700125692.2419097,3295668.3406432304,973.7784721592403
1700125761.2239146,3372053.601884834,974.9711214074152
1700125827.5324285,3445411.355572335,976.1095511594377
1700125892.5126958,3516956.1862079166,977.1973760484541
1700125958.1852133,3589566.64627889,978.2378963916865
1700126022.1983278,3660388.0820315415,976.774135848808
1700126084.620179,3729461.9542630557,977.7813179232918
1700126145.2109337,3796562.7377802483,978.7473827893597
1700126207.5464747,3865497.517303634,979.6747974795902
1700126271.2117913,3935377.0656415033,980.5658355338122
1700126332.8331425,4002979.9199401853,981.4225956041766
1700126393.9353695,4070223.96938152,982.2470179539945
1700126453.8815055,4136331.3140748786,983.04089912337
1700126512.8647034,4201506.252406278,983.8059049949464
1700126574.0018315,4269538.140643662,984.5435824597513
1700126636.0910757,4338873.427070466,985.255369855057
1700126696.427839,4406321.804016655,985.9426063224632
1700126757.5986192,4474913.108431584,986.6065402143099
1700126818.117743,4542834.306805884,985.4290232400798
1700126880.736612,4613288.023474761,986.0804997696736
1700126943.6049876,4684000.306680291,986.7109545116721
1700127007.32887,4755536.81168404,987.3213885036574
1700127073.5309565,4829376.658797655,987.3645744759932
1700127137.802429,4901038.786444543,987.9464307891184
1700127201.1262054,4971661.850837193,988.5106489746714
1700127263.2145426,5040865.008059233,989.0580187996377
1700127324.0194142,5108586.676689443,989.589283574122
1700127383.5695798,5174829.169926525,990.1051435177895
1700127441.9517782,5239623.940933652,990.6062588377545
1700127499.0676942,5303022.106595806,990.0578323715677
1700127554.6131802,5364686.567334093,990.5461904386996
1700127614.189626,5430683.037075047,983.0135669769419
1700127673.5405235,5496468.519783462,983.5879067814742
1700127731.7915263,5561082.7923284415,984.1469239570275
1700127788.9830134,5624539.148857707,984.691223344321
1700127845.0683122,5686817.792276921,985.2213783637781
